SANZ, -33.453167 -70.661667 533 
SANN, -33.453167 -70.661667 533 
SANE, -33.453167 -70.661667 533 
PCH, -33.620833 -70.513833 1010 
LNV, -33.955500 -71.410833 160 
SJCH, -33.646667 -70.353833 997 
LAB, -33.456667 -70.663667 554 
ADGF, -33.453167 -70.651667 533 
PUEX, -33.441333 -70.757833 505 
SFDO, -34.614333 -71.013833 690 
TACH, -33.653333 -70.937667 440 
TLL, -30.169667 -70.805333 2260 
CPCH, -27.357000 -70.353000 371 
UDA, -27.358000 -70.353000 360 
IQQ, -20.242000 -70.141000 20 
ANCH, -23.680333 -70.408500 30 
ANT, -23.682000 -70.410000 30 
GCOZ, -36.816667 -73.033000 600 
GCON, -36.816667 -73.033000 600 
CON, -36.828167 -73.045000 46 
TIGO, -36.843667 -73.025500 46 
ACLL, -36.602667 -72.077167 123 
CCHI, -36.602667 -72.077167 123 
CCH2, -36.602667 -72.077167 123 
LAD, -35.596667 -70.977000  
DES, -35.612667 -70.797000  
TAT, -35.977000 -70.834000  
NIE, -36.100000 -70.574000  
MAU, -36.067000 -70.534000  
COL, -36.133000 -70.471000  
BOB, -36.007000 -70.548000  
ELT, -37.380500 -71.380333  
CLCH, -33.396167 -70.536833 865 
CL2, -33.396167 -70.536833 865 
CL2C, -33.396167 -70.536833 865 
DSCH, -33.398500 -70.568833 699 
GCLL, -36.600000 -72.080000 500 
CLL, -36.600000 -72.080000 500 
LNQI, -38.387333 -71.562667 1219 
MANZ, -38.464000 -71.698667 815 
VLCH, -39.806000 -73.246000 12 
UACH, -39.806000 -73.246000 12 
PMCH, -41.490000 -72.896667 36 
UAPM, -41.489833 -72.896500 20 
RTUM, -32.224167 -69.386333 1800 
RTLS, -31.799000 -69.296000 1900 
RTCV, -31.862167 -68.540167  
ZON, -31.545833 -68.678667 730 
ICA, -31.528167 -68.559833  
TMCH, -38.764000 -72.743000 101 
TEM, -38.749833 -72.616333 110 
UFRO, -38.749833 -72.616333 110 
TALC, -35.403833 -71.632167 125 
MFCH, -35.024500 -70.441333 1920 
UTAL, -35.398000 -71.634000 100 
LSCH, -29.908333 -71.245167 52 
LSER, -29.901500 -71.249667 50 
ULS, -29.901500 -71.249667 50 
LCO, -29.011167 -70.701000 2299 
CEN, -23.576167 -70.333833 1070 
MEJ, -23.099667 -70.495333 500 
MEJI, -23.099667 -70.495333 500 
ARIE, -18.491000 -70.311500 127 
APB, -22.851833 -70.229500 1450 
GOR, -22.867333 -69.345667 1860 
CUV, -23.571500 -69.930667 1310 
BAL, -23.446667 -69.586667 1840 
NOR, -23.114667 -69.963167 1520 
CRX, -24.169833 -70.368667 1590 
PAS1, -24.105667 -69.256667 2280 
HUCH, -31.464167 -71.221667 9 
CHNG, -31.882667 -71.499833 27 
ILCH, -31.629000 -71.163333 733 
CMCH, -31.173500 -71.001333 906 
OVCH, -30.601167 -71.201000 222 
NNA, -11.987500 -76.842167 575 
COCH, -36.131333 -72.788500 23 
CCSP, -36.844167 -73.108667 35 
AGCH, -37.809333 -72.696500 81 
PTCH, -32.251333 -70.930000 500 
ANTU, -33.569167 -70.633500 640 
RCDM, -33.489167 -70.806333 487 
SRP, -33.478500 -70.527333 781 
VACH, -28.575500 -70.758833 410 
FSR2, -33.478500 -70.527333 781 
LMEL, -33.847667 -70.203500 1510 
OSCH, -40.575833 -73.127667 45 
SPCH, -22.908333 -68.199500 2455 
lmc, -35.049000 -70.565000 1224 
LMC, -35.049000 -70.565000 1224 
lqc, -34.999833 -70.811500 671 
LQC, -34.999833 -70.811500 671 
RDC, -35.473500 -70.993500 1098 
PHC, -35.712500 -71.116167 494 
MOS, -35.124500 -70.966667 642 
QON, -35.222167 -70.968667 798 
CUL, -35.262833 -71.052167 569 
SIE, -34.805833 -70.758167 1016 
COYC, -45.573000 -72.081333 235 
BLA, -42.867000 -72.684000 158 
BO2, -42.817000 -72.678167 371 
CA2, -42.968500 -72.678833 70 
CAL, -42.822833 -72.641667 889 
CAV, -42.968500 -72.678833 70 
QUI, -42.773000 -72.607000 376 
ADA, -46.031500 -72.749000 1159 
AYA, -42.290667 -72.699667 66 
AYS, -45.378333 -72.688167 63 
CHA, -45.428000 -72.761167 67 
COR, -43.154000 -72.814500 1106 
COY, -45.541000 -72.055167 504 
EST, -45.176000 -73.326667 11 
FRIO, -45.984167 -72.942167 1080 
GLA, -42.784333 -72.510167 843 
GUA0, -52.237333 -73.139167 13 
HUDS, -45.959333 -72.886167 1000 
JUN, -43.993333 -72.462333 307 
LPS, -44.113667 -73.118333 44 
MAG, -44.634833 -72.925000 59 
MEL, -44.058333 -72.800000 843 
MOR, -43.205667 -72.880667 110 
PAS, -42.811167 -72.364833 1311 
PIE, -42.853500 -72.346000 1493 
POY, -42.364000 -72.543167 1282 
